
Date,Open,High,Low,Close,Volume,Adj Close
2012-01-10,425.91,426.00,421.50,423.24,9221300,423.24
2012-01-09,425.50,427.75,421.35,421.73,14060600,421.73
2012-01-06,419.77,422.75,419.22,422.40,11367600,422.40
2012-01-05,414.95,418.55,412.67,418.03,9675800,418.03
2012-01-04,410.00,414.68,409.28,413.44,9286500,413.44
2012-01-03,409.40,412.50,409.00,411.23,10793600,411.23
2011-12-30,403.51,406.28,403.49,405.00,6416500,405.00
2011-12-29,403.40,405.65,400.51,405.12,7713500,405.12
2011-12-28,406.89,408.25,401.34,402.64,8166500,402.64
2011-12-27,403.10,409.09,403.02,406.53,9467000,406.53
2011-12-23,399.69,403.59,399.49,403.33,9621400,403.33
2011-12-22,397.00,399.13,396.10,398.55,7209900,398.55
2011-12-21,396.69,397.30,392.01,396.45,9367000,396.45
2011-12-20,387.76,396.10,387.26,395.95,12043400,395.95
2011-12-19,382.47,384.85,380.48,382.21,8388500,382.21
2011-12-16,380.36,384.15,379.57,381.02,15052800,381.02
2011-12-15,383.33,383.74,378.31,378.94,9150000,378.94
2011-12-14,386.70,387.38,377.68,380.19,14531700,380.19
2011-12-13,393.00,395.40,387.10,388.81,12104600,388.81
2011-12-12,391.68,393.90,389.45,391.84,10693500,391.84
2011-12-09,392.85,394.04,391.03,393.62,10606900,393.62
2011-12-08,391.45,395.50,390.23,390.66,13428900,390.66
2011-12-07,389.93,390.94,386.76,389.09,10883800,389.09
2011-12-06,392.51,394.63,389.38,390.95,10128500,390.95
2011-12-05,393.49,396.41,390.39,393.01,12757500,393.01
2011-12-02,389.83,393.63,388.58,389.70,13537700,389.70
2011-12-01,382.54,389.00,380.75,387.93,13709400,387.93
2011-11-30,381.29,382.28,378.30,382.20,14497800,382.20
2011-11-29,375.84,378.83,370.20,373.20,13423400,373.20
2011-11-28,372.35,376.72,370.33,376.12,12371900,376.12
2011-11-25,368.42,371.15,363.32,363.57,9098600,363.57
2011-11-23,374.51,375.84,366.88,366.99,15295400,366.99
2011-11-22,371.02,377.93,370.94,376.51,14607900,376.51
2011-11-21,370.40,371.68,365.91,369.01,15999300,369.01
2011-11-18,378.92,379.99,374.88,374.94,13283500,374.94
2011-11-17,383.98,384.58,375.50,377.41,17139300,377.41
2011-11-16,389.25,391.14,384.32,384.77,12449900,384.77
2011-11-15,380.80,389.50,379.45,388.83,15386100,388.83
2011-11-14,383.52,385.25,378.20,379.26,15460900,379.26
2011-11-11,386.61,388.70,380.26,384.62,23338400,384.62
2011-11-10,397.03,397.21,382.15,385.22,26598300,385.22
2011-11-09,396.97,400.89,394.23,395.28,19926700,395.28
2011-11-08,402.21,408.00,401.56,406.23,14278400,406.23
2011-11-07,399.91,400.00,396.13,399.73,9641000,399.73
2011-11-04,402.03,403.44,399.16,400.24,10772400,400.24
2011-11-03,399.07,403.40,395.36,403.07,15763800,403.07
2011-11-02,400.09,400.44,395.11,397.41,11691100,397.41
2011-11-01,397.41,399.50,393.22,396.51,18974200,396.51
2011-10-31,402.42,409.33,401.05,404.78,13767900,404.78
2011-10-28,403.00,406.35,402.51,404.95,11515200,404.95
2011-10-27,407.56,409.00,401.89,404.69,17666600,404.69
2011-10-26,401.76,402.55,393.15,400.60,16279000,400.60
2011-10-25,405.03,406.55,397.38,397.77,15372400,397.77
2011-10-24,396.18,406.50,395.40,405.77,17933500,405.77
2011-10-21,398.10,399.14,390.75,392.87,22161600,392.87
2011-10-20,400.00,400.35,394.21,395.31,19616800,395.31
2011-10-19,401.35,408.42,397.80,398.62,39407100,398.62
2011-10-18,421.76,424.81,415.99,422.24,31232500,422.24
2011-10-17,421.74,426.70,415.94,419.99,24501600,419.99
2011-10-14,416.83,422.00,415.27,422.00,20477400,422.00
2011-10-13,404.98,408.43,402.85,408.43,15220900,408.43
2011-10-12,407.34,409.25,400.14,402.19,22224500,402.19
2011-10-11,392.57,403.18,391.50,400.29,21631700,400.29
2011-10-10,379.09,388.81,378.21,388.81,15804100,388.81
2011-10-07,375.78,377.74,368.49,369.80,19123500,369.80
2011-10-06,373.33,384.78,371.80,377.37,29020800,377.37
2011-10-05,367.86,379.82,360.30,378.25,28088200,378.25
2011-10-04,374.57,381.80,354.24,372.50,44059900,372.50
2011-10-03,380.37,382.64,373.17,374.60,23896400,374.60
2011-09-30,387.12,388.89,381.18,381.32,19558600,381.32
2011-09-29,401.92,402.21,386.21,390.57,23253100,390.57
2011-09-28,400.19,403.74,396.51,397.01,15344200,397.01
2011-09-27,408.73,409.25,398.06,399.26,22589200,399.26
2011-09-26,399.86,403.98,391.30,403.17,29031300,403.17
2011-09-23,400.28,406.74,399.85,404.30,19509900,404.30
2011-09-22,401.03,409.82,396.70,401.82,34588600,401.82
2011-09-21,419.64,421.59,412.00,412.14,21642000,412.14
2011-09-20,415.25,422.86,411.19,413.45,27705500,413.45
2011-09-19,397.00,413.23,395.20,411.63,29423600,411.63
2011-09-16,395.54,400.50,395.03,400.50,24946900,400.50
2011-09-15,391.43,393.66,389.90,392.96,14922100,392.96
2011-09-14,387.02,392.21,385.76,389.30,19097300,389.30
2011-09-13,382.14,386.21,380.25,384.62,15734300,384.62
2011-09-12,373.00,380.88,371.90,379.94,16708300,379.94
2011-09-09,383.93,386.00,375.02,377.48,20171900,377.48
2011-09-08,382.40,388.61,382.31,384.14,14862800,384.14
2011-09-07,385.56,385.60,382.00,383.93,12520600,383.93
2011-09-06,367.37,380.33,366.48,379.74,18203500,379.74
2011-09-02,374.74,378.00,371.83,374.05,15676400,374.05
2011-09-01,385.82,387.34,380.72,381.03,12275900,381.03
2011-08-31,390.57,392.08,381.86,384.83,18663800,384.83
2011-08-30,388.25,391.84,386.21,389.99,14925800,389.99
2011-08-29,388.18,391.50,388.00,389.97,14453300,389.97
2011-08-26,371.17,383.80,370.80,383.58,22892600,383.58
2011-08-25,365.08,375.45,365.00,373.72,31098800,373.72
2011-08-24,373.47,378.96,370.60,376.18,20914300,376.18
2011-08-23,360.30,373.64,357.00,373.60,23444500,373.60
2011-08-22,364.51,364.88,355.09,356.44,19091100,356.44
2011-08-19,362.17,367.00,356.00,356.03,27697100,356.03
2011-08-18,370.84,372.65,361.37,366.05,30385000,366.05
2011-08-17,382.31,384.52,378.00,380.44,15733200,380.44
2011-08-16,381.52,383.37,376.06,380.48,17812500,380.48
2011-08-15,379.63,384.97,378.09,383.41,16436700,383.41
2011-08-12,378.07,379.64,374.23,376.99,18879800,376.99
2011-08-11,370.52,375.45,364.72,373.70,26482900,373.70
2011-08-10,371.15,374.65,362.50,363.69,31358700,363.69
2011-08-09,361.30,374.61,355.00,374.01,38629400,374.01
2011-08-08,361.69,367.77,353.02,353.21,40810600,353.21
2011-08-05,380.44,383.50,362.57,373.62,42992200,373.62
2011-08-04,389.41,391.32,377.35,377.37,31083700,377.37
2011-08-03,390.98,393.55,382.24,392.57,26388200,392.57
2011-08-02,397.65,397.90,388.35,388.91,22810100,388.91
2011-08-01,397.78,399.50,392.37,396.75,21829000,396.75
2011-07-29,387.64,395.15,384.00,390.48,22568800,390.48
2011-07-28,391.62,396.99,388.13,391.82,21200200,391.82
2011-07-27,400.59,402.64,392.15,392.59,23523900,392.59
2011-07-26,400.00,404.50,399.68,403.41,17006300,403.41
2011-07-25,390.35,400.00,389.62,398.50,21045000,398.50
2011-07-22,388.32,395.05,387.75,393.30,18395400,393.30
2011-07-21,386.95,390.06,383.90,387.29,18787700,387.29
2011-07-20,396.12,396.27,386.00,386.90,33590100,386.90
2011-07-19,378.00,378.65,373.32,376.85,29140700,376.85
2011-07-18,365.43,374.65,365.28,373.80,20419100,373.80
2011-07-15,361.17,365.00,359.17,364.92,17265800,364.92
2011-07-14,361.01,361.61,356.34,357.77,15346300,357.77
2011-07-13,358.33,360.00,356.38,358.02,13973300,358.02
2011-07-12,353.53,357.68,348.62,353.75,16113400,353.75
2011-07-11,356.34,359.77,352.82,354.00,15809800,354.00
2011-07-08,353.34,360.00,352.20,359.71,17486900,359.71
2011-07-07,354.67,358.00,354.00,357.20,14260500,357.20
2011-07-06,348.95,354.10,346.71,351.76,15879500,351.76
2011-07-05,343.00,349.83,342.50,349.43,12680500,349.43
2011-07-01,335.95,343.50,334.20,343.26,15546900,343.26
2011-06-30,334.70,336.13,332.84,335.67,11534100,335.67
2011-06-29,336.04,336.37,331.88,334.04,12590900,334.04
2011-06-28,333.65,336.70,333.44,335.26,10510700,335.26
2011-06-27,327.59,333.90,327.25,332.04,12136200,332.04
2011-06-24,331.37,333.15,325.09,326.35,15707400,326.35
2011-06-23,318.94,331.69,318.12,331.23,19991400,331.23
2011-06-22,325.16,328.90,322.38,322.61,13949400,322.61
2011-06-21,316.68,325.80,315.20,325.30,17620800,325.30
2011-06-20,317.36,317.70,310.50,315.32,22880200,315.32
2011-06-17,328.99,329.25,319.36,320.26,21965000,320.26
2011-06-16,326.90,328.68,318.33,325.16,18235400,325.16
2011-06-15,329.75,330.30,324.88,326.75,14257000,326.75
2011-06-14,330.00,333.25,329.31,332.44,11948900,332.44
2011-06-13,326.60,328.31,325.07,326.60,11773500,326.60
2011-06-10,330.55,331.66,325.51,325.90,15498400,325.90
2011-06-09,333.25,333.67,330.75,331.49,9824600,331.49
2011-06-08,331.78,334.80,330.65,332.24,11918700,332.24
2011-06-07,338.17,338.22,331.90,332.04,18920900,332.04
2011-06-06,345.70,347.05,337.81,338.04,16497900,338.04
2011-06-03,343.18,345.33,342.01,343.44,11187500,343.44
2011-06-02,346.50,347.98,344.30,346.10,12099400,346.10
2011-06-01,348.87,352.13,344.65,345.51,19810100,345.51
2011-05-31,341.10,347.83,341.00,347.83,14919800,347.83
2011-05-27,334.80,337.63,334.31,337.41,7271400,337.41
2011-05-26,335.97,336.89,334.43,335.00,7948600,335.00
2011-05-25,336.78,338.56,332.85,336.78,10508000,336.78
2011-05-24,335.50,335.90,331.34,332.19,11497400,332.19
2011-05-23,329.97,335.98,329.42,334.40,13700000,334.40
2011-05-20,339.56,340.95,335.02,335.22,12070300,335.22
2011-05-19,342.08,342.41,338.67,340.53,9327500,340.53
2011-05-18,336.47,341.05,336.00,339.87,11956300,339.87
2011-05-17,332.00,336.14,330.73,336.14,16154800,336.14
2011-05-16,339.20,341.22,332.60,333.30,16063400,333.30
2011-05-13,345.66,346.25,340.35,340.50,11647000,340.50
2011-05-12,346.12,347.12,342.27,346.57,11500000,346.57
2011-05-11,349.02,350.00,345.24,347.23,12000000,347.23
2011-05-10,348.89,349.69,346.66,349.45,10074700,349.45
2011-05-09,347.86,349.20,346.53,347.60,7312400,347.60
2011-05-06,349.69,350.00,346.21,346.66,10004800,346.66
2011-05-05,348.40,350.95,346.05,346.75,11998900,346.75
2011-05-04,348.26,351.83,346.88,349.57,13901800,349.57
2011-05-03,347.99,349.89,345.62,348.20,11191000,348.20
2011-05-02,349.74,350.47,345.50,346.28,15811200,346.28
2011-04-29,346.78,353.95,346.67,350.13,35940900,350.13
2011-04-28,346.19,349.75,345.52,346.75,12891400,346.75
2011-04-27,352.24,352.35,347.10,350.15,12721900,350.15
2011-04-26,353.62,354.99,349.35,350.42,12100000,350.42
2011-04-25,350.34,353.75,350.30,353.01,9519500,353.01
2011-04-21,355.00,355.13,348.52,350.70,26921800,350.70
2011-04-20,343.51,345.75,341.50,342.41,25023800,342.41
2011-04-19,333.10,337.98,331.71,337.86,14977800,337.86
2011-04-18,326.10,332.23,320.16,331.85,21782100,331.85
2011-04-15,333.30,333.64,326.80,327.46,16200200,327.46
2011-04-14,334.80,336.00,332.06,332.42,10778600,332.42
2011-04-13,335.02,336.14,332.52,336.13,12365000,336.13
2011-04-12,330.49,333.73,330.20,332.40,15201400,332.40
2011-04-11,334.06,335.67,330.02,330.80,14248100,330.80
2011-04-08,339.92,340.15,333.95,335.06,13483400,335.06
2011-04-07,338.10,340.43,336.03,338.08,13337400,338.08
2011-04-06,341.22,343.90,337.14,338.04,14376400,338.04
2011-04-05,336.99,342.25,336.00,338.89,17240400,338.89
2011-04-04,344.31,344.60,338.40,341.19,16431600,341.19
2011-04-01,351.11,351.59,343.30,344.56,14952200,344.56
2011-03-31,346.36,349.80,346.06,348.51,9786400,348.51
2011-03-30,350.64,350.88,347.44,348.63,11764500,348.63
2011-03-29,347.66,350.96,346.06,350.96,12603600,350.96
2011-03-28,353.15,354.32,350.44,350.44,11048400,350.44
2011-03-25,348.07,352.06,347.02,351.54,16032500,351.54
2011-03-24,341.85,346.00,338.86,344.97,14454000,344.97
2011-03-23,339.28,340.22,335.95,339.19,13321300,339.19
2011-03-22,342.56,342.62,339.14,341.20,11640100,341.20
2011-03-21,335.99,339.74,335.26,339.30,14621500,339.30
2011-03-18,337.13,338.20,330.00,330.67,26900500,330.67
2011-03-17,336.83,339.61,330.66,334.64,23550800,334.64
2011-03-16,342.00,343.00,326.26,330.01,41500400,330.01
2011-03-15,342.10,347.84,340.10,345.43,25752900,345.43
2011-03-14,353.18,356.48,351.31,353.56,15569900,353.56
2011-03-11,345.33,352.32,345.00,351.99,16824300,351.99
2011-03-10,349.12,349.77,344.90,346.67,18126400,346.67
2011-03-09,354.69,354.76,350.60,352.47,16189500,352.47
2011-03-08,354.91,357.40,352.25,355.76,12725600,355.76
2011-03-07,361.40,361.67,351.31,355.36,19504400,355.36
2011-03-04,360.07,360.29,357.75,360.00,16188100,360.00
2011-03-03,357.19,359.79,355.92,359.56,17885300,359.56
2011-03-02,349.96,354.35,348.40,352.12,21521100,352.12
2011-03-01,355.47,355.72,347.68,349.31,16290600,349.31
2011-02-28,351.24,355.05,351.12,353.21,14395500,353.21
2011-02-25,345.26,348.43,344.80,348.16,13572100,348.16
2011-02-24,344.02,345.15,338.37,342.88,17853600,342.88
2011-02-23,338.77,344.64,338.61,342.62,23994800,342.62
2011-02-22,342.15,345.40,337.72,338.61,31162700,338.61
2011-02-18,358.71,359.50,349.52,350.56,29144900,350.56
2011-02-17,357.25,360.27,356.52,358.30,18949400,358.30
2011-02-16,360.80,364.90,360.50,363.13,17184200,363.13
2011-02-15,359.19,359.97,357.55,359.90,10149100,359.90
2011-02-14,356.79,359.48,356.71,359.18,11086300,359.18
2011-02-11,354.75,357.80,353.54,356.85,13127600,356.85
2011-02-10,357.39,360.00,348.00,354.54,33162500,354.54
2011-02-09,355.19,359.00,354.87,358.16,17240900,358.16
2011-02-08,353.68,355.52,352.15,355.20,13608600,355.20
2011-02-07,347.89,353.25,347.64,351.88,17322200,351.88
2011-02-04,343.64,346.70,343.51,346.50,11494300,346.50
2011-02-03,343.80,344.24,338.55,343.44,14064200,343.44
2011-02-02,344.45,345.25,343.55,344.32,9248400,344.32
2011-02-01,341.30,345.65,340.98,345.03,15236900,345.03
2011-01-31,335.80,340.04,334.30,339.32,13473100,339.32
2011-01-28,344.17,344.40,333.53,336.10,21144900,336.10
2011-01-27,343.78,344.69,342.83,343.21,10179500,343.21
2011-01-26,342.96,345.60,341.50,343.85,18102700,343.85
2011-01-25,336.33,341.44,334.57,341.40,19531000,341.40
2011-01-24,326.87,337.45,326.72,337.45,20524400,337.45
2011-01-21,333.77,334.88,326.63,326.72,26942900,326.72
2011-01-20,336.43,338.30,330.12,332.68,27313900,332.68
2011-01-19,348.35,348.60,336.88,338.84,40557600,338.84
2011-01-18,329.52,344.76,326.00,340.65,67178500,340.65
2011-01-14,345.89,348.48,344.44,348.48,11030000,348.48
2011-01-13,345.16,346.64,343.85,345.68,10599300,345.68
2011-01-12,343.25,344.43,342.00,344.42,10806800,344.42
2011-01-11,344.88,344.96,339.47,341.64,15861000,341.64
2011-01-10,338.83,343.23,337.17,342.45,16020000,342.45
2011-01-07,333.99,336.35,331.90,336.12,11140400,336.12
2011-01-06,334.72,335.25,332.90,333.73,10729600,333.73
2011-01-05,329.55,334.34,329.50,334.00,9125700,334.00
2011-01-04,332.44,332.50,328.15,331.29,11038600,331.29
2011-01-03,325.64,330.26,324.84,329.57,15897800,329.57
2010-12-31,322.95,323.48,321.31,322.56,6911000,322.56
2010-12-30,325.48,325.51,323.05,323.66,5624800,323.66
2010-12-29,326.22,326.45,325.10,325.29,5826400,325.29
2010-12-28,325.91,326.66,325.06,325.47,6283000,325.47
2010-12-27,322.85,325.44,321.52,324.68,8922000,324.68
2010-12-23,325.00,325.15,323.17,323.60,7969900,323.60
2010-12-22,324.36,325.72,323.55,325.16,9497200,325.16
2010-12-21,323.00,324.39,322.05,324.20,9155500,324.20
2010-12-20,321.60,323.25,318.23,322.21,13771800,322.21
2010-12-17,321.63,321.79,320.23,320.61,13818900,320.61
2010-12-16,321.09,322.61,320.10,321.25,11501100,321.25
2010-12-15,320.00,323.00,319.19,320.36,14904000,320.36
2010-12-14,321.73,322.54,319.00,320.29,12536000,320.29
2010-12-13,324.37,325.06,321.00,321.67,15707700,321.67
2010-12-10,319.65,321.05,318.60,320.56,9375400,320.56
2010-12-09,322.13,322.50,319.02,319.76,10505400,319.76
2010-12-08,319.63,321.02,317.11,321.01,11497700,321.01
2010-12-07,323.80,323.99,318.12,318.21,13980500,318.21
2010-12-06,318.64,322.33,318.42,320.15,16017200,320.15
2010-12-03,317.01,318.65,316.34,317.44,12217600,317.44
2010-12-02,317.53,319.00,314.89,318.15,16529900,318.15
2010-12-01,315.27,317.75,315.00,316.40,16491100,316.40
2010-11-30,313.54,314.36,310.87,311.15,17923500,311.15
2010-11-29,315.50,317.48,311.38,316.87,15920900,316.87
2010-11-26,313.74,317.70,312.94,315.00,8485200,315.00
2010-11-24,312.00,315.40,311.75,314.80,14775900,314.80
2010-11-23,310.45,311.75,306.56,308.73,18551700,308.73
2010-11-22,306.68,313.36,305.87,313.36,14038400,313.36
2010-11-19,307.97,308.40,305.24,306.73,13744400,306.73
2010-11-18,305.20,309.67,304.69,308.43,17660400,308.43
2010-11-17,301.20,303.99,297.76,300.50,17123200,300.50
2010-11-16,305.72,307.60,299.32,301.59,23487500,301.59
2010-11-15,308.46,310.54,306.27,307.04,14414500,307.04
2010-11-12,316.00,316.50,303.63,308.03,28423100,308.03
2010-11-11,315.00,318.40,314.25,316.65,12903000,316.65
2010-11-10,316.64,318.77,313.55,318.03,13722400,318.03
2010-11-09,321.05,321.30,314.50,316.08,13698000,316.08
2010-11-08,317.20,319.77,316.76,318.62,10062800,318.62
2010-11-05,317.99,319.57,316.75,317.13,12901900,317.13
2010-11-04,315.45,320.18,315.03,318.27,22946000,318.27
2010-11-03,311.37,312.88,308.53,312.80,18155300,312.80
2010-11-02,307.00,310.19,307.00,309.36,15497500,309.36
2010-11-01,302.22,305.60,302.20,304.18,15138900,304.18
2010-10-29,304.23,305.88,300.87,300.98,15375400,300.98
2010-10-28,307.95,308.00,300.90,305.24,19680400,305.24
2010-10-27,307.65,309.90,305.60,307.83,14250100,307.83
2010-10-26,306.87,309.74,305.65,308.05,14033200,308.05
2010-10-25,309.09,311.60,308.44,308.84,14016500,308.84
2010-10-22,309.07,310.04,306.30,307.47,13313500,307.47
2010-10-21,312.36,314.74,306.80,309.52,19695000,309.52
2010-10-20,309.00,314.25,306.87,310.53,25772300,310.53
2010-10-19,303.40,313.77,300.02,309.49,44028000,309.49
2010-10-18,318.47,319.00,314.29,318.00,39036100,318.00
2010-10-15,307.44,315.00,304.91,314.74,32935500,314.74
2010-10-14,301.69,302.47,300.40,302.31,15546300,302.31
2010-10-13,300.20,301.96,299.80,300.14,22503300,300.14
2010-10-12,295.41,299.50,292.49,298.54,19948000,298.54
2010-10-11,294.74,297.24,294.60,295.36,15276900,295.36
2010-10-08,291.71,294.50,290.00,294.07,23514400,294.07
2010-10-07,290.34,290.48,286.91,289.22,14585700,289.22
2010-10-06,289.59,291.99,285.26,289.19,23959600,289.19
2010-10-05,282.00,289.45,281.82,288.94,17927400,288.94
2010-10-04,281.60,282.90,277.77,278.64,15546500,278.64
2010-10-01,286.15,286.58,281.35,282.52,16005100,282.52
2010-09-30,289.00,290.00,281.25,283.75,24049700,283.75
2010-09-29,287.23,289.81,286.00,287.37,16773000,287.37
2010-09-28,291.77,291.77,275.00,286.86,36965800,286.86
2010-09-27,293.98,294.73,291.01,291.16,17244100,291.16
2010-09-24,292.10,293.53,290.55,292.32,23196000,292.32
2010-09-23,286.33,292.76,286.00,288.92,28075600,288.92
2010-09-22,282.71,287.98,282.41,287.75,20903200,287.75
2010-09-21,283.86,287.35,282.79,283.77,23859800,283.77
2010-09-20,276.08,283.78,275.85,283.23,23524200,283.23
2010-09-17,277.69,277.96,273.68,275.37,22659900,275.37
2010-09-16,270.24,276.67,269.50,276.57,23289400,276.57
2010-09-15,268.17,270.38,267.84,270.22,15334600,270.22
2010-09-14,266.21,269.17,265.52,268.06,14576800,268.06
2010-09-13,265.82,268.28,265.76,267.04,13885000,267.04
2010-09-10,263.19,264.50,261.40,263.41,13840800,263.41
2010-09-09,265.04,266.52,262.92,263.07,15663400,263.07
2010-09-08,259.78,264.39,259.10,262.92,18805400,262.92
2010-09-07,256.64,259.53,256.25,257.81,12234200,257.81
2010-09-03,255.09,258.78,254.50,258.77,18599600,258.77
2010-09-02,251.26,252.17,248.57,252.17,14836700,252.17
2010-09-01,247.47,251.46,246.28,250.33,24894200,250.33
2010-08-31,241.85,244.56,240.35,243.10,15028100,243.10
2010-08-30,240.76,245.75,240.68,242.50,13688900,242.50
2010-08-27,241.75,242.61,235.56,241.62,19585400,241.62
2010-08-26,245.45,245.75,240.28,240.28,16660900,240.28
2010-08-25,238.04,243.99,237.20,242.89,21316700,242.89
2010-08-24,242.67,243.00,238.65,239.93,21520200,239.93
2010-08-23,251.79,252.00,245.25,245.80,14787200,245.80
2010-08-20,249.39,253.92,249.00,249.64,13722500,249.64
2010-08-19,252.84,253.48,248.68,249.88,15239500,249.88
2010-08-18,252.36,254.67,251.58,253.07,12132000,253.07
2010-08-17,250.08,254.63,249.20,251.97,15094300,251.97
2010-08-16,247.58,250.01,246.62,247.64,11372500,247.64
2010-08-13,251.65,251.88,249.09,249.10,12673900,249.10
2010-08-12,246.69,253.10,246.12,251.79,19104300,251.79
2010-08-11,255.40,255.69,249.81,250.19,22144800,250.19
2010-08-10,259.85,260.45,257.55,259.41,16140000,259.41
2010-08-09,261.48,262.15,259.57,261.75,10826000,261.75
2010-08-06,259.78,261.49,257.63,260.09,15889200,260.09
2010-08-05,261.73,263.18,260.55,261.70,10324900,261.70
2010-08-04,262.84,264.28,260.31,262.98,15013400,262.98
2010-08-03,261.01,263.26,259.42,261.93,14916200,261.93
2010-08-02,260.44,262.59,259.62,261.85,15287700,261.85
2010-07-30,255.89,259.70,254.90,257.25,16007500,257.25
2010-07-29,260.71,262.65,256.10,258.11,22993100,258.11
2010-07-28,263.67,265.99,260.25,260.96,18570900,260.96
2010-07-27,260.87,264.80,260.30,264.08,20884700,264.08
2010-07-26,260.00,260.10,257.71,259.28,15019700,259.28
2010-07-23,257.09,260.38,256.28,259.94,19049600,259.94
2010-07-22,257.68,260.00,255.31,259.02,23047100,259.02
2010-07-21,265.09,265.15,254.00,254.24,42345400,254.24
